ts_code,trade_date,Signal,open,close,stop,Down,action
600861.SH,20250516,T,20.72,20.42,,-0.03,sell
000807.SZ,20250519,S,15.69,15.22,,-0.0701,sell
603613.SH,20250520,B,23.91,24.21,23.4837,0.0317,buy
000807.SZ,20250521,B,15.17,15.6,15.132,0.0327,buy
600426.SH,20250521,B,20.46,20.48,19.8656,0.0027,buy
603393.SH,20250523,S,29.26,29.16,,-0.0409,sell
603613.SH,20250523,T,23.77,23.38,,-0.0511,sell
000807.SZ,20250523,T,15.22,15.07,,-0.0186,sell
601156.SH,20250526,B,12.92,12.94,12.551799999999998,0.0054,buy
000807.SZ,20250528,B,14.45,14.39,13.9583,0.0067,buy
600861.SH,20250528,B,20.07,20.25,19.6425,0.0313,buy
605117.SH,20250528,B,83.56,83.08,80.5876,0.017,buy
603613.SH,20250528,B,22.95,22.89,22.2033,0.015,buy
603393.SH,20250529,B,29.29,29.54,28.653799999999997,0.0195,buy
601919.SH,20250529,B,16.39,16.38,15.888599999999999,0.0153,buy
600938.SH,20250530,B,25.61,25.79,25.016299999999998,0.003,buy
601021.SH,20250605,B,57.29,57.55,55.823499999999996,0.0027,buy
000963.SZ,20250609,B,43.37,43.8,42.486,0.0212,buy
600600.SH,20250611,B,72.88,73.14,70.9458,0.0369,buy
300815.SZ,20250611,B,20.35,20.43,19.8171,0.0413,buy
600600.SH,20250612,S,72.88,71.3,,-0.1177,sell
605117.SH,20250612,S,85.65,84.8,,-0.1089,sell
600861.SH,20250613,T,19.79,19.63,,-0.0045,sell
603613.SH,20250613,S,24.25,23.61,,-0.0838,sell
601021.SH,20250613,S,57.0,56.89,,-0.0536,sell
300815.SZ,20250613,T,20.38,19.62,,0.004,sell
000963.SZ,20250616,S,44.62,43.68,,-0.0928,sell
600426.SH,20250616,S,22.78,22.15,,-0.0672,sell
600938.SH,20250616,S,27.7,27.17,,-0.047,sell
601021.SH,20250619,B,55.08,55.0,53.35,0.0527,buy
000807.SZ,20250619,S,15.66,15.24,,-0.0543,sell
603613.SH,20250623,B,20.75,21.22,20.583399999999997,0.0215,buy
000807.SZ,20250623,B,15.26,15.37,14.9089,0.0071,buy
600426.SH,20250624,B,21.75,21.91,21.2527,0.0205,buy
601919.SH,20250625,T,15.25,15.06,,-0.1137,sell
600938.SH,20250625,B,26.09,26.23,25.4431,0.0037,buy
603393.SH,20250626,T,28.95,28.62,,-0.0116,sell
601919.SH,20250627,B,15.0,15.04,14.588799999999999,0.0161,buy
601021.SH,20250701,S,55.5,55.18,,-0.0661,sell
603613.SH,20250702,S,23.28,22.89,,-0.0659,sell
601021.SH,20250703,B,54.95,55.15,53.4955,0.0081,buy
600600.SH,20250703,B,68.44,68.34,66.2898,0.0011,buy
000807.SZ,20250707,S,16.52,15.82,,-0.1132,sell
605117.SH,20250708,B,51.69,54.94,53.291799999999995,0.1776,buy
300815.SZ,20250708,B,19.83,19.99,19.390299999999996,0.0073,buy
000807.SZ,20250709,B,16.29,15.96,15.481200000000001,0.0011,buy
601088.SH,20250709,B,37.72,37.5,36.375,0.0028,buy
605117.SH,20250709,S,54.07,54.59,,-0.0464,sell
601021.SH,20250710,S,55.85,54.97,,-0.0662,sell
300815.SZ,20250710,T,19.75,19.33,,-0.0672,sell
603613.SH,20250711,B,23.19,23.46,22.7562,0.0084,buy
600938.SH,20250711,S,26.51,25.9,,-0.0886,sell
600600.SH,20250715,S,68.81,68.33,,-0.0524,sell
600426.SH,20250716,T,21.36,21.23,,-0.0051,sell
600938.SH,20250718,B,25.77,25.85,25.0745,0.024,buy
600861.SH,20250722,B,19.89,20.22,19.6134,0.0297,buy
605117.SH,20250722,B,53.62,54.06,52.4382,0.0284,buy
605117.SH,20250723,S,54.2,53.15,,-0.0792,sell
000807.SZ,20250723,S,16.96,16.44,,-0.0484,sell
601088.SH,20250724,S,38.83,38.82,,-0.048,sell
600861.SH,20250728,S,20.96,20.42,,-0.0708,sell
601919.SH,20250728,S,16.47,15.97,,-0.0685,sell
000963.SZ,20250728,B,42.65,43.86,42.5442,0.0782,buy
600426.SH,20250730,B,24.23,24.88,24.133599999999998,0.0253,buy
600600.SH,20250730,B,68.52,69.14,67.0658,0.0186,buy
