date,total_cash
20250806101900,100247.1058738
20250806102000,100262.1058738
20250806102100,100286.1058738
20250806102200,100274.1058738
20250806102300,100244.1058738
20250806102400,100247.1058738
20250806102500,100268.1058738
20250806102600,100289.1058738
20250806102700,100286.1058738
20250806102800,100295.1058738
20250806102900,100274.1058738
20250806103000,100256.1058738
20250806103100,100298.1058738
20250806103200,100307.1058738
20250806103300,100277.1058738
20250806103400,100235.1058738
20250806103500,100262.1058738
20250806103600,100322.1058738
20250806103700,100295.1058738
20250806103800,100304.1058738
20250806103900,100289.1058738
20250806104000,100271.1058738
20250806104100,100292.1058738
20250806104200,100301.1058738
20250806104300,100307.1058738
20250806104400,100337.1058738
20250806104500,100379.1058738
20250806104600,100370.1058738
20250806104700,100337.1058738
20250806104800,100385.1058738
20250806104900,100373.1058738
20250806105000,100310.1058738
20250806105100,100298.1058738
20250806105200,100349.1058738
20250806105300,100349.1058738
20250806105400,100331.1058738
20250806105500,100310.1058738
20250806105600,100322.1058738
20250806105700,100361.1058738
20250806105800,100340.1058738
20250806105900,100373.1058738
20250806110000,100391.1058738
20250806110100,100379.1058738
20250806110200,100400.1058738
20250806110300,100391.1058738
20250806110400,100352.1058738
20250806110500,100382.1058738
20250806110600,100388.1058738
20250806110700,100391.1058738
20250806110800,100379.1058738
20250806110900,100343.1058738
20250806111000,100343.1058738
20250806111100,100352.1058738
20250806111200,100352.1058738
20250806111300,100304.1058738
20250806111400,100286.1058738
20250806111500,100295.1058738
20250806111600,100265.1058738
20250806111700,100298.1058738
20250806111800,100295.1058738
20250806111900,100307.1058738
20250806112000,100304.1058738
20250806112100,100316.1058738
20250806112200,100319.1058738
20250806112300,100340.1058738
20250806112400,100370.1058738
20250806112500,100361.1058738
20250806112600,100349.1058738
20250806112700,100382.1058738
20250806112800,100361.1058738
20250806112900,100391.1058738
20250806113000,100358.1058738
20250806130100,100337.1058738
20250806130200,100349.1058738
20250806130300,100340.1058738
20250806130400,100349.1058738
20250806130500,100328.1058738
20250806130600,100307.1058738
20250806130700,100319.1058738
20250806130800,100319.1058738
20250806130900,100340.1058738
20250806131000,100343.1058738
20250806131100,100343.1058738
20250806131200,100334.1058738
20250806131300,100322.1058738
20250806131400,100313.1058738
20250806131500,100331.1058738
20250806131600,100322.1058738
20250806131700,100328.1058738
20250806131800,100319.1058738
20250806131900,100286.1058738
20250806132000,100298.1058738
20250806132100,100298.1058738
20250806132200,100268.1058738
20250806132300,100277.1058738
20250806132400,100268.1058738
20250806132500,100277.1058738
20250806132600,100268.1058738
20250806132700,100268.1058738
20250806132800,100235.1058738
20250806132900,100238.1058738
20250806133000,100235.1058738
20250806133100,100223.1058738
20250806133200,100184.1058738
20250806133300,100184.1058738
20250806133400,100235.1058738
20250806133500,100256.1058738
20250806133600,100265.1058738
20250806133700,100256.1058738
20250806133800,100247.1058738
20250806133900,100256.1058738
20250806134000,100253.1058738
20250806134100,100262.1058738
20250806134200,100253.1058738
20250806134300,100283.1058738
20250806134400,100274.1058738
20250806134500,100292.1058738
20250806134600,100292.1058738
20250806134700,100292.1058738
20250806134800,100322.1058738
20250806134900,100325.1058738
20250806135000,100304.1058738
20250806135100,100316.1058738
20250806135200,100340.1058738
20250806135300,100367.1058738
20250806135400,100358.1058738
20250806135500,100337.1058738
20250806135600,100325.1058738
20250806135700,100325.1058738
20250806135800,100325.1058738
20250806135900,100346.1058738
20250806140000,100337.1058738
20250806140100,100307.1058738
20250806140200,100358.1058738
20250806140300,100379.1058738
20250806140400,100358.1058738
20250806140500,100361.1058738
20250806140600,100379.1058738
20250806140700,100373.1058738
20250806140800,100361.1058738
20250806140900,100349.1058738
20250806141000,100361.1058738
20250806141100,100328.1058738
20250806141200,100328.1058738
20250806141300,100373.1058738
20250806141400,100373.1058738
20250806141500,100361.1058738
20250806141600,100361.1058738
20250806141700,100382.1058738
20250806141800,100382.1058738
20250806141900,100412.1058738
20250806142000,100391.1058738
20250806142100,100430.1058738
20250806142200,100424.1058738
20250806142300,100421.1058738
20250806142400,100457.1058738
20250806142500,100478.1058738
20250806142600,100481.1058738
20250806142700,100460.1058738
20250806142800,100466.1058738
20250806142900,100448.1058738
20250806143000,100448.1058738
20250806143100,100445.1058738
20250806143200,100457.1058738
20250806143300,100457.1058738
20250806143400,100448.1058738
20250806143500,100478.1058738
20250806143600,100493.1058738
20250806143700,100481.1058738
20250806143800,100493.1058738
20250806143900,100490.1058738
20250806144000,100490.1058738
20250806144100,100481.1058738
20250806144200,100481.1058738
20250806144300,100496.1058738
20250806144400,100478.1058738
20250806144500,100457.1058738
20250806144600,100475.1058738
20250806144700,100487.1058738
20250806144800,100472.1058738
20250806144900,100484.1058738
20250806145000,100484.1058738
20250806145100,100490.1058738
20250806145200,100448.1058738
20250806145300,100469.1058738
20250806145400,100460.1058738
20250806145500,100457.1058738
20250806145600,100469.1058738
20250806145700,100478.1058738
20250806145800,100469.1058738
20250806145900,100469.1058738
20250806150000,100469.1058738
20250807093000,100676.1058738
20250807093100,100625.1058738
20250807093200,100619.1058738
20250807093300,100604.1058738
20250807093400,100616.1058738
20250807093500,100613.1058738
20250807093600,100586.1058738
20250807093700,100580.1058738
20250807093800,100604.1058738
20250807093900,100616.1058738
20250807094000,100739.1058738
20250807094100,100772.1058738
20250807094200,100718.1058738
20250807094300,100676.1058738
20250807094400,100727.1058738
20250807094500,100679.1058738
20250807094600,100583.1058738
20250807094700,100610.1058738
20250807094800,100613.1058738
20250807094900,100655.1058738
20250807095000,100685.1058738
20250807095100,100646.1058738
20250807095200,100589.1058738
20250807095300,100574.1058738
20250807095400,100571.1058738
20250807095500,100535.1058738
20250807095600,100505.1058738
20250807095700,100454.1058738
20250807095800,100433.1058738
20250807095900,100454.1058738
20250807100000,100400.1058738
20250807100100,100412.1058738
20250807100200,100430.1058738
20250807100300,100412.26288428
20250807100400,100426.26288428
20250807100500,100446.26288428
20250807100600,100379.26288428
20250807100700,100375.26288428
20250807100800,100403.26288428
20250807100900,100424.26288428
20250807101000,100411.26288428
20250807101100,100477.26288428
20250807101200,100443.26288428
20250807101300,100485.26288428
20250807101400,100444.26288428
20250807101500,100386.26288428
20250807101600,100374.26288428
20250807101700,100312.26288428
20250807101800,100333.26288428
20250807101900,100317.26288428
20250807102000,100339.26288428
20250807102100,100338.26288428
20250807102200,100299.26288428
20250807102300,100279.26288428
20250807102400,100237.26288428
20250807102500,100192.26288428
20250807102600,100163.26288428
20250807102700,100183.26288428
20250807102800,100108.26288428
20250807102900,100133.26288428
20250807103000,100096.26288428
20250807103100,100101.26288428
20250807103200,100090.26288428
20250807103300,100104.26288428
20250807103400,100113.26288428
20250807103500,100118.26288428
20250807103600,100131.26288428
20250807103700,100160.26288428
20250807103800,100173.26288428
20250807103900,100160.26288428
20250807104000,100147.26288428
20250807104100,100156.26288428
20250807104200,100172.26288428
20250807104300,100219.26288428
20250807104400,100215.26288428
20250807104500,100225.26288428
20250807104600,100229.26288428
20250807104700,100248.26288428
20250807104800,100235.26288428
20250807104900,100247.26288428
20250807105000,100274.26288428
20250807105100,100260.26288428
20250807105200,100249.26288428
20250807105300,100263.26288428
20250807105400,100238.26288428
20250807105500,100247.26288428
20250807105600,100247.26288428
20250807105700,100238.26288428
20250807105800,100260.26288428
20250807105900,100255.26288428
20250807110000,100243.26288428
20250807110100,100271.26288428
20250807110200,100296.26288428
20250807110300,100325.26288428
20250807110400,100350.26288428
20250807110500,100312.26288428
20250807110600,100280.26288428
20250807110700,100292.26288428
20250807110800,100308.26288428
20250807110900,100346.26288428
20250807111000,100370.26288428
20250807111100,100361.26288428
20250807111200,100386.26288428
20250807111300,100400.26288428
20250807111400,100403.26288428
20250807111500,100388.26288428
20250807111600,100425.26288428
20250807111700,100425.26288428
20250807111800,100430.26288428
20250807111900,100418.26288428
20250807112000,100415.26288428
20250807112100,100410.26288428
20250807112200,100407.26288428
20250807112300,100440.26288428
20250807112400,100444.26288428
20250807112500,100472.26288428
20250807112600,100472.26288428
20250807112700,100452.26288428
20250807112800,100439.26288428
20250807112900,100472.26288428
20250807113000,100460.26288428
20250807130100,100504.26288428
20250807130200,100510.26288428
20250807130300,100420.26288428
20250807130400,100451.26288428
20250807130500,100505.26288428
20250807130600,100477.26288428
20250807130700,100420.26288428
20250807130800,100431.26288428
20250807130900,100410.26288428
20250807131000,100419.26288428
20250807131100,100428.26288428
20250807131200,100446.26288428
20250807131300,100461.26288428
20250807131400,100416.26288428
20250807131500,100408.26288428
20250807131600,100436.26288428
20250807131700,100450.26288428
20250807131800,100474.26288428
20250807131900,100459.26288428
20250807132000,100472.26288428
20250807132100,100517.26288428
20250807132200,100504.26288428
20250807132300,100513.26288428
20250807132400,100494.26288428
20250807132500,100511.26288428
20250807132600,100490.26288428
20250807132700,100460.26288428
20250807132800,100493.26288428
20250807132900,100476.26288428
20250807133000,100440.26288428
20250807133100,100480.26288428
20250807133200,100539.26288428
20250807133300,100555.26288428
20250807133400,100562.26288428
20250807133500,100555.26288428
20250807133600,100535.26288428
20250807133700,100529.26288428
20250807133800,100516.26288428
20250807133900,100525.26288428
20250807134000,100537.26288428
20250807134100,100570.26288428
20250807134200,100524.26288428
20250807134300,100536.26288428
20250807134400,100540.26288428
20250807134500,100558.26288428
20250807134600,100562.26288428
20250807134700,100577.26288428
20250807134800,100572.26288428
20250807134900,100609.26288428
20250807135000,100601.26288428
20250807135100,100594.26288428
20250807135200,100589.26288428
20250807135300,100586.26288428
20250807135400,100585.26288428
20250807135500,100573.26288428
20250807135600,100555.26288428
20250807135700,100559.26288428
20250807135800,100573.26288428
20250807135900,100572.26288428
20250807140000,100568.26288428
20250807140100,100611.26288428
20250807140200,100636.26288428
20250807140300,100645.26288428
20250807140400,100662.26288428
20250807140500,100686.26288428
20250807140600,100702.26288428
20250807140700,100666.26288428
20250807140800,100641.26288428
20250807140900,100630.26288428
20250807141000,100631.26288428
20250807141100,100638.26288428
20250807141200,100626.26288428
20250807141300,100626.26288428
20250807141400,100626.26288428
20250807141500,100589.26288428
20250807141600,100555.26288428
20250807141700,100556.26288428
20250807141800,100568.26288428
20250807141900,100570.26288428
20250807142000,100598.26288428
20250807142100,100593.26288428
20250807142200,100613.26288428
20250807142300,100659.26288428
20250807142400,100653.26288428
20250807142500,100667.26288428
20250807142600,100633.26288428
20250807142700,100661.26288428
20250807142800,100652.26288428
20250807142900,100649.26288428
20250807143000,100652.26288428
20250807143100,100683.26288428
20250807143200,100733.26288428
20250807143300,100769.26288428
20250807143400,100766.26288428
20250807143500,100811.26288428
20250807143600,100766.26288428
20250807143700,100750.26288428
20250807143800,100732.26288428
20250807143900,100725.26288428
20250807144000,100704.26288428
20250807144100,100744.26288428
20250807144200,100766.26288428
20250807144300,100774.26288428
20250807144400,100794.26288428
20250807144500,100801.26288428
20250807144600,100822.26288428
20250807144700,100822.26288428
20250807144800,100806.26288428
20250807144900,100801.26288428
20250807145000,100814.26288428
20250807145100,100802.26288428
20250807145200,100817.26288428
20250807145300,100812.26288428
20250807145400,100809.26288428
20250807145500,100780.26288428
20250807145600,100775.26288428
20250807145700,100806.26288428
20250807145800,100803.26288428
20250807145900,100803.26288428
20250807150000,100786.26288428
20250808093000,100689.26288428
20250808093100,100748.26288428
20250808093200,100631.26288428
20250808093300,100683.26288428
20250808093400,100723.26288428
20250808093500,100761.26288428
20250808093600,100680.26288428
20250808093700,100700.26288428
20250808093800,100639.26288428
20250808093900,100724.26288428
20250808094000,100778.26288428
20250808094100,100711.26288428
20250808094200,100773.26288428
20250808094300,100833.26288428
20250808094400,100793.26288428
20250808094500,100758.26288428
20250808094600,100792.26288428
20250808094700,100859.26288428
20250808094800,100830.26288428
20250808094900,100788.26288428
20250808095000,100782.26288428
20250808095100,100810.26288428
20250808095200,100784.26288428
20250808095300,100787.26288428
20250808095400,100709.26288428
20250808095500,100654.26288428
20250808095600,100661.26288428
20250808095700,100677.26288428
20250808095800,100694.26288428
20250808095900,100691.26288428
20250808100000,100749.26288428
20250808100100,100803.26288428
20250808100200,100827.26288428
20250808100300,100928.26288428
20250808100400,100952.26288428
20250808100500,100909.26288428
20250808100600,100906.26288428
20250808100700,100946.26288428
20250808100800,100984.26288428
20250808100900,100990.26288428
20250808101000,101038.26288428
20250808101100,101079.26288428
20250808101200,101047.26288428
20250808101300,101027.26288428
20250808101400,101005.26288428
20250808101500,101047.26288428
20250808101600,101153.26288428
20250808101700,101135.26288428
20250808101800,101131.26288428
20250808101900,101122.26288428
20250808102000,101098.26288428
20250808102100,101072.26288428
20250808102200,101020.26288428
20250808102300,101016.26288428
20250808102400,101046.26288428
20250808102500,101126.26288428
20250808102600,101097.26288428
20250808102700,101058.26288428
20250808102800,101082.26288428
20250808102900,101101.26288428
20250808103000,101139.26288428
20250808103100,101131.26288428
20250808103200,101106.26288428
20250808103300,101126.26288428
20250808103400,101130.26288428
20250808103500,101114.26288428
20250808103600,101144.26288428
20250808103700,101184.26288428
20250808103800,101209.26288428
20250808103900,101191.26288428
20250808104000,101224.26288428
20250808104100,101212.26288428
20250808104200,101149.26288428
20250808104300,101160.26288428
20250808104400,101170.26288428
20250808104500,101182.26288428
20250808104600,101170.26288428
20250808104700,101199.26288428
20250808104800,101190.26288428
20250808104900,101305.26288428
20250808105000,101268.26288428
20250808105100,101332.26288428
20250808105200,101329.26288428
20250808105300,101347.26288428
20250808105400,101400.26288428
20250808105500,101440.26288428
20250808105600,101461.26288428
20250808105700,101465.26288428
20250808105800,101439.26288428
20250808105900,101434.26288428
20250808110000,101451.26288428
20250808110100,101484.26288428
20250808110200,101400.26288428
20250808110300,101428.26288428
20250808110400,101418.26288428
20250808110500,101367.26288428
20250808110600,101444.26288428
20250808110700,101454.26288428
20250808110800,101444.26288428
20250808110900,101459.26288428
20250808111000,101473.26288428
20250808111100,101451.26288428
20250808111200,101418.26288428
20250808111300,101466.26288428
20250808111400,101499.26288428
20250808111500,101502.26288428
20250808111600,101466.26288428
20250808111700,101488.26288428
20250808111800,101486.26288428
20250808111900,101495.26288428
20250808112000,101452.26288428
20250808112100,101457.26288428
20250808112200,101451.26288428
20250808112300,101451.26288428
20250808112400,101442.26288428
20250808112500,101454.26288428
20250808112600,101488.26288428
20250808112700,101464.26288428
20250808112800,101495.26288428
20250808112900,101526.26288428
